geom,identyfikator,województwo,powiat,gmina,obręb,numer,data_dodania,cena,przeznaczenie,Link do oferty,Komentarz,Powierzchnia,Link do zdjęcia,Location,,working links
0103000020110F000001000000070000000C7F3261C02A424137CA3AE90A145A41BBC9B14BBF2A42416DBCCF8608145A411E6D9989B12A4241E3A1391B0A145A4144F00144B72A4241FBB245AE16145A4152BC47D7B72A4241B6DAB2F017145A41617A7B9BC52A42412A22465C16145A410C7F3261C02A424137CA3AE90A145A41,141207_5.0021.13/7,mazowieckie,miński,Halinów,Wielgolas Duchnowski,13/7,2024/12/10,,,https://www.facebook.com/groups/dzialkizamniejniz100tys/permalink/3811305575848851/?sale_post_id=3811305575848851,,,,,,
0103000020110F00000100000008000000EA46774F5B663A4181F74152F8565941C68CEA406B663A41E6C9F6F2FF5659410D6F1DE488663A41A605E704FF565941F02B146387663A41B995A156F5565941F59468D589663A41FA64ED76F0565941533CFD668D663A4168E0DC95EF5659419E36CAE675663A4114A76F27EC565941EA46774F5B663A4181F74152F8565941,021203_5.0018.283,dolnośląskie,lwówecki,Lwówek Śląski,Radłówka,283,2024/12/10,54000,budowlana,https://www.facebook.com/groups/dzialkizamniejniz100tys/permalink/3811321575847251/,,,,,,
0103000020110F000001000000130000001AA42C978B463C4181C81FFFE64D5B419749DE206B463C41052DDCA8E84D5B4172159787ED453C4167FC208DC74D5B4142FE603D48463C413402231FBD4D5B419C3BB6C7A1463C41917A55D2C84D5B4123707915A8463C416C36B20DC64D5B41F61B6D9AD5463C413B36DE9FC44D5B4106670187FA463C41CE35A975C24D5B4173BCC3B009473C411FFC05B8C04D5B41FDE8582812473C414C381B58BF4D5B41CB844ECB1B473C41896DC5C8BD4D5B41FAD7871727473C419DCB0008BA4D5B4135ACD8082F473C4136ADB763B74D5B41EF5ABB9B88473C4111D4A856D74D5B41F4A85B6BAA473C41E32C60D5E14D5B416E94C5FB48473C41E76F6CF8F14D5B41539868EBE1463C41C3755E0A034E5B415CE4749CBC463C41C3376408F94D5B411AA42C978B463C4181C81FFFE64D5B41,320903_5.0098.29/1,zachodniopomorskie,koszaliński,Bobolice,Porost,29/1,2024/12/10,,rekreacyjna,https://www.facebook.com/groups/dzialkizamniejniz100tys/permalink/3811383979174344/,,,,,,
0103000020110F0000010000000900000023707915A8463C416C36B20DC64D5B419C3BB6C7A1463C41917A55D2C84D5B4142FE603D48463C413402231FBD4D5B419CFBAD6390463C41EF07075EB44D5B41769C0451B0463C41FA58B699B04D5B41F05857F7BF463C4143100842AE4D5B4106670187FA463C41CE35A975C24D5B41F61B6D9AD5463C413B36DE9FC44D5B4123707915A8463C416C36B20DC64D5B41,320903_5.0098.30/3,zachodniopomorskie,koszaliński,Bobolice,Porost,30/3,2024/12/10,,rekreacyjna,https://www.facebook.com/groups/dzialkizamniejniz100tys/permalink/3811383979174344/,,,,,,
,,dolnośląskie,kamiennogórski,Kamienna Góra,Krzeszów,465/2,2024/12/10,55000,budowlana,https://www.facebook.com/groups/dzialkizamniejniz100tys/permalink/3811420255837383/,,,,,,
0103000020110F0000010000000900000013503F05DB8A4041636A210A8B6D5841BEC3E73BD18A4041A7FFE686996D5841A1344AE8CA8A4041E49DEEB4AA6D584194014EF3BC8A4041EA1B9CCAA76D5841863E61D8BE8A4041FDB4E52C966D58415F821C8AB68A404105860036966D5841FE1B8C0DA08A40411BC0C585936D5841C324D4C9AA8A404145ED02F9826D584113503F05DB8A4041636A210A8B6D5841,121507_2.0002.465/1,małopolskie,suski,Stryszawa,Krzeszów,465/1,2024/12/10,65000,budowlana,https://www.facebook.com/groups/dzialkizamniejniz100tys/permalink/3811420255837383/,,,,,,
0103000020110F000001000000060000000F2A56419ADC4041FC848F03E55D5841F3E0C7D878DC404103DC109AFB5D5841F2F041EA61DC40412C7C0A75FE5D58412B7A5B7E2CDC404180304DF7ED5D5841A7421C9049DC40411A1257DDD85D58410F2A56419ADC4041FC848F03E55D5841,121501_1.0001.2802,małopolskie,suski,Jordanów (miasto),Jordanów,2802,2024/12/10,199000,rolna,https://www.facebook.com/groups/dzialkizamniejniz100tys/permalink/3811898865789522/,,,,,,
0103000020110F00000100000007000000F27DB2EBBCA34241597A077249135A412174301ABDA34241A7457A6B37135A4130FBDB52D4A342416F63E69237135A413278144BD4A34241E82A1D9838135A41F6B889C5D3A342417CFD3D6F49135A4183CACD03CDA342412AB11F7049135A41F27DB2EBBCA34241597A077249135A41,142603_2.0029.613,mazowieckie,siedlecki,Kotuń,Żdżar,613,2024/12/10,110000,budowlana,https://www.facebook.com/groups/dzialkizamniejniz100tys/permalink/3811448775834531/?sale_post_id=3811448775834531,,,,,,
0103000020110F0000010000000C000000D00666B22A49414190B6D40A0F89584146190BFC2349414161D783290E89584121E4C79D23494141B027209903895841B13DAFFD2F494141F1D04612018958418B6DD31A33494141143BCC4700895841A54F3110384941418B10F909FF8858417E67492D3C494141D6B234CCFD8858419CC10DA941494141E74401C6FB885841B25500A841494141BEBACB43108958412D268301404941415561FF3B1089584171F8F0BC3A49414148C5521610895841D00666B22A49414190B6D40A0F895841,120102_2.0005.572/1,małopolskie,bocheński,Bochnia,Buczyna,572/1,2024/12/10,200000,budowlana,https://www.facebook.com/groups/dzialkizamniejniz100tys/permalink/3811551969157545/,,,,,,
0103000020110F00000100000007000000823B99C1D5AE4041148FF421341559415C32DEB9ABAE40417491EF8A391559418ED4400F8FAE40414C11D79901155941B57FB85FB8AE4041BFB02441FC14594185A42634C1AE40411D2774EF0C15594178D7723ECEAE40415F2307C925155941823B99C1D5AE4041148FF42134155941,240409_2.0003.67/7,śląskie,częstochowski,Lelów,Drochlin,67/7,2024/12/10,239000,,https://www.facebook.com/groups/dzialkizamniejniz100tys/permalink/3811933319119410/,,,,,,
0103000020110F000001000000060000001CF400EB39EB3F41D85BBFC0A0975B418126802F0BEB3F415AFF2F40AE975B4133A4DBF5EAEA3F415317208BA3975B4173631F1C19EB3F4184C2DC5098975B411594B6BC37EB3F41BBDBB334A0975B411CF400EB39EB3F41D85BBFC0A0975B41,220404_2.0018.476,pomorskie,gdański,Pruszcz Gdański,Wiślinka,476,2024/12/5,399000,budowlana,https://www.facebook.com/groups/dzialkizamniejniz100tys/permalink/3807069209605821/?sale_post_id=3807069209605821,,,,"54.331356,18.790903",,
0103000020110F000001000000070000009CF9D32F0C0F4041231EEB18DF845B4160C3C58C370F40410E26FD17DD845B417D327157370F4041CA54AF62BF845B41C6BCF5D4530F4041FADEE89BC0845B4129B8DDA4560F4041E1FB4549E5845B41413D56640D0F40417FDA2279E6845B419CF9D32F0C0F4041231EEB18DF845B41,220402_2.0008.67/4,pomorskie,gdański,Cedry Wielkie,Leszkowy,67/4,2024/12/5,299000,budowlana,https://www.facebook.com/groups/dzialkizamniejniz100tys/permalink/3807072372938838/?sale_post_id=3807072372938838,,,,"54.230410,18.909140",,
0103000020110F000001000000050000004494854D03C64041A8ADC2C321EC5941D01D4D18C3C54041299199B833EC594109361713A1C54041BC56C77123EC59415B6BD513EEC540412AAF3C820DEC59414494854D03C64041A8ADC2C321EC5941,102001_1.0015.49,łódzkie,zgierski,Głowno (miasto),Głowno 15,49,2024/12/5,325000,,https://www.facebook.com/groups/dzialkizamniejniz100tys/permalink/3807089166270492/,537 444 251,,,"51.973842,19.748941",,
0103000020110F0000010000000E00000048FAC886483D40416241D354FA1D59414F3D0CF1293D4041CBB0E069091E59411C2673D5223D40413C34BC76121E594179F0D747113D40414802AE391B1E594124F03B840B3D404141656F59131E59415EA69484073D40411B7735FD0D1E594180246536073D4041655273490D1E5941FCB378B5183D404140727A7A041E59416B1C5E001B3D404111E9EAA0051E59414F947C6F2C3D4041F9742BDAFC1D594178EDF9DC313D4041D341A21EFA1D5941B19F99FB3C3D4041345A9984F41D594129159E47453D4041FECA98B1F81D594148FAC886483D40416241D354FA1D5941,246401_1.0301.4/7,śląskie,Częstochowa,Częstochowa (miasto),301,4/7,2024/12/5,499000,,https://www.facebook.com/groups/dzialkizamniejniz100tys/permalink/3807504886228920/,,,,"50.790682,19.120250",,
0103000020110F00000100000005000000BCB0E39D396D3B416FE66C0EFFEC5A41FFC4D8EEF66C3B419698F71702ED5A411182A90AE16C3B419EDC62F1F6EC5A413C6B2B5C256D3B4107035B14F4EC5A41BCB0E39D396D3B416FE66C0EFFEC5A41,320305_2.0065.33/7,zachodniopomorskie,drawski,Wierzchowo,Nowe Laski,33/7,2024/12/5,80000,budowlana,https://www.facebook.com/groups/dzialkizamniejniz100tys/permalink/3807513072894768/?sale_post_id=3807513072894768,,,,"53.405782,16.146225",,
0103000020110F000001000000090000007570D5F328823B41F3C21B53EB775B41EDFEB1F922823B41FEFB5229EC775B41A5B1625A1E823B418BE145ABF1775B41A9DAACF004823B418CC4AF33F5775B41184E34D0FD813B41AB2D2160F1775B41CEE850C9F3813B41FFE676FEEB775B410D4BB1B4E9813B4100380593E6775B41A2B1DC9814823B41BB6FCA22E0775B417570D5F328823B41F3C21B53EB775B41,326101_1.0050.50,zachodniopomorskie,Koszalin,Koszalin (miasto),50,50,2024/12/5,153768,budowlana,https://www.facebook.com/groups/dzialkizamniejniz100tys/permalink/3808260549486687/,,,,"54.160871,16.194496",,
0103000020110F000001000000050000009D204C8A4AE7434174AE957C91E759416C77531852E7434161FFAF7587E759419D504FF59EE7434196E7E41AAEE75941B22789ED91E7434193506546B7E759419D204C8A4AE7434174AE957C91E75941,060111_5.0011.335,lubelskie,bialski,Piszczac,Połoski,335,2024/12/5,130000,,https://www.facebook.com/groups/dzialkizamniejniz100tys/permalink/3807589136220495/?sale_post_id=3807589136220495,503 932 511,,,"51.948305,23.435900",,
0103000020110F0000010000000E00000003F93CDEFB9440412A236782566C5841BB50FB731B9540414A006C2A586C5841734007D13A9540414F8B37E25D6C58415D1BB59F3E954041C1F0DFCC5E6C5841F282A1024195404153BC3EB4596C5841BEFA724441954041DB082651546C5841A6C0FCD3389540416983D88D4C6C584141B88F0730954041FCF0B449476C5841A12FF8E62C954041942AE3B3446C584108FDF17D2495404188FAA81B456C5841EA27FDC10395404155BC4125446C5841C6A71BBF0395404172A07E00456C5841C7418CA303954041DA415D98456C584103F93CDEFB9440412A236782566C5841,121507_2.0007.1822,małopolskie,suski,Stryszawa,Stryszawa,1822,2024/12/5,,budowlana,https://www.facebook.com/groups/dzialkizamniejniz100tys/permalink/3807589136220495/?sale_post_id=3807589136220495,,,,"49.745801,19.524912",,yes
0103000020110F0000010000001600000040A77B9EB638404138B0B5EA531959416FAA14EAAF384041D5BAF0EF46195941BF7439EEAD384041CC5A6D18431959416FB401929C384041DCAEFD7821195941AF725AC55038404157BB74080C195941F2A8145C8D38404187C20854E9185941FABC54FFB7384041997B19F3F118594190EA74AACE384041C8B0F489F618594185913D5ECF384041563B6620FC185941A48FF0BBD4384041684F7D3C27195941434CFB50D53840419E0976F72B195941116C08EAD5384041469664B1301959410FD90B7FD6384041CF8C5B6B35195941D1191C16D73840418D8752263A195941C09827ABD73840416A114EE13E195941327D3544D8384041FC6C3F9B431959417A5D41D9D8384041A95E3C5648195941E217519DD9384041E2025B784E195941AB3D2596DA384041FC5D493B56195941C7874E9EDA38404147FB1B8256195941508C0824CA38404141C964525519594140A77B9EB638404138B0B5EA53195941,246401_1.0422.710/33,śląskie,Częstochowa,Częstochowa (miasto),Brzeziny Wielkie,710/33,2024/12/5,600000,,https://www.facebook.com/groups/dzialkizamniejniz100tys/permalink/3808172599495482/?sale_post_id=3808172599495482,695 950 122,,,"50.761966,19.099628",,
0103000020110F000001000000050000009D204C8A4AE7434174AE957C91E759416C77531852E7434161FFAF7587E759419D504FF59EE7434196E7E41AAEE75941B22789ED91E7434193506546B7E759419D204C8A4AE7434174AE957C91E75941,060111_5.0011.335,lubelskie,bialski,Piszczac,Połoski,335,2024/12/5,130000,,https://www.facebook.com/groups/dzialkizamniejniz100tys/permalink/3808234346155974/?sale_post_id=3808234346155974,503 932 511,,,"51.948305,23.435900",,
0103000020110F00000100000008000000CD635EEAC45A4041DEDFB41C959B5A412F438EFCBA5A4041EE0E9476999B5A414282E98FA05A40418A2F46A4A89B5A41C587DFB9925A4041B149B74BB29B5A417F076CAF8B5A4041F476C085B79B5A41D9220924805A404187A29E7CBE9B5A4127F74EE1925A4041E23C9CE77A9B5A41CD635EEAC45A4041DEDFB41C959B5A41,040803_2.0003.68/1,kujawsko-pomorskie,lipnowski,Chrostkowo,Chrostkowo,68/1,2024/11/22,85 000,Budowlana,https://www.facebook.com/groups/dzialkizamniejniz100tys/permalink/3798439310468811/,600-271-454,,,"52.957166,19.255798",,yes
0103000020110F00000100000007000000C1CAEFBBFABA3D411EE5D2ABF39459414FB039DDFBBA3D41C93C2FD0EF9459415B12A056FCBA3D4173B7C1DEEE945941728F0C9C19BB3D414E072E52EA9459410061315762BB3D41EFA1D403EB94594108EFFA675ABB3D412DFBC496F4945941C1CAEFBBFABA3D411EE5D2ABF3945941,021302_2.0017.107/7,dolnośląskie,milicki,Krośnice,Suliradzice,107/7,2024/11/22,319000,Budowlana,https://www.facebook.com/groups/dzialkizamniejniz100tys/permalink/3798508453795230/?sale_post_id=3798508453795230,781-477-706,,,"51.477017,17.503353",,yes
0103000020110F000001000000060000005B12A056FCBA3D4173B7C1DEEE945941D1700A9CFDBA3D414FA04C4FEC945941BB3B64FD6FBB3D4114CCD089DA9459410061315762BB3D41EFA1D403EB945941728F0C9C19BB3D414E072E52EA9459415B12A056FCBA3D4173B7C1DEEE945941,021302_2.0017.107/8,dolnośląskie,milicki,Krośnice,Suliradzice,107/8,2024/11/23,319000,Budowlana,https://www.facebook.com/groups/dzialkizamniejniz100tys/permalink/3798508453795230/?sale_post_id=3798508453795230,781-477-706,,,"51.476800,17.503545",,yes
0103000020110F00000100000009000000A07D8B22FABA3D419609AEADF5945941C1CAEFBBFABA3D411EE5D2ABF394594108EFFA675ABB3D412DFBC496F49459410061315762BB3D41EFA1D403EB945941BB3B64FD6FBB3D4114CCD089DA945941843F6F38ACBB3D412BCD862ED1945941DF207A1A0DBC3D4139F710B4D1945941C7297C8C6FBC3D418F5F663EF9945941A07D8B22FABA3D419609AEADF5945941,021302_2.0017.107/6,dolnośląskie,milicki,Krośnice,Suliradzice,107/6,2024/11/22,319000,Rolna,https://www.facebook.com/groups/dzialkizamniejniz100tys/permalink/3798508453795230/?sale_post_id=3798508453795230,781-477-706,,,"51.476836,17.504821",,yes
0103000020110F000001000000060000009C5D97D318D93F41FC1169E3EFEA5A41F460EADAE7D83F41179FAC9DECEA5A4106D973BDF9D83F4140DE9E4FDBEA5A411C90E01025D93F416BCBB3A7DFEA5A41383174BB29D93F41EDF4A361E2EA5A419C5D97D318D93F41FC1169E3EFEA5A41,040601_2.0001.303/6,kujawsko-pomorskie,grudziądzki,Grudziądz,Biały Bór,303/6,2024/11/13,90,Budowlana,https://www.facebook.com/groups/dzialkizamniejniz100tys/posts/sprzedam-4-dzia%C5%82ki-budowlane-z-warunkami-zabudowy-1-dzia%C5%82ka-3032-o-pow-01042-ha-/3784233258556083/,,,,"53.394357,18.749428",,yes
0103000020110F000001000000060000002692DB3462D93F419907F0C8E5EA5A4136EB2A8750D93F411ED5D69CF3EA5A410D9D9A8222D93F418AE0BD89F0EA5A415BA5440F33D93F410E713751E3EA5A4113F10FEC3DD93F41C7BADD25E2EA5A412692DB3462D93F419907F0C8E5EA5A41,040601_2.0001.303/5,kujawsko-pomorskie,grudziądzki,Grudziądz,Biały Bór,303/5,2024/11/13,90,Budowlana,https://www.facebook.com/groups/dzialkizamniejniz100tys/posts/sprzedam-4-dzia%C5%82ki-budowlane-z-warunkami-zabudowy-1-dzia%C5%82ka-3032-o-pow-01042-ha-/3784233258556083/,,,,"53.394468,18.749947",,yes
0103000020110F00000100000007000000675ADFFF03D93F41ADB881E1FAEA5A41C3E224E5FED83F416967D6DFFEEA5A41C4B5DEB0D7D83F412FB77041FCEA5A41F460EADAE7D83F41179FAC9DECEA5A419C5D97D318D93F41FC1169E3EFEA5A41E16B7E050DD93F41A68C6651F9EA5A41675ADFFF03D93F41ADB881E1FAEA5A41,040601_2.0001.303/4,kujawsko-pomorskie,grudziądzki,Grudziądz,Biały Bór,303/4,2024/11/13,90,Budowlana,https://www.facebook.com/groups/dzialkizamniejniz100tys/posts/sprzedam-4-dzia%C5%82ki-budowlane-z-warunkami-zabudowy-1-dzia%C5%82ka-3032-o-pow-01042-ha-/3784233258556083/,,,,"53.394703,18.749271",,yes
0103000020110F0000010000000700000036EB2A8750D93F411ED5D69CF3EA5A41D4E60CD73CD93F4144BBA90303EB5A41AE15F18815D93F41E55E346300EB5A4182F1A8A31AD93F410440DF64FCEA5A41119FC1B816D93F417912A6F6F9EA5A410D9D9A8222D93F418AE0BD89F0EA5A4136EB2A8750D93F411ED5D69CF3EA5A41,040601_2.0001.303/2,kujawsko-pomorskie,grudziądzki,Grudziądz,Biały Bór,303/2,2024/11/13,90,Budowlana,https://www.facebook.com/groups/dzialkizamniejniz100tys/posts/sprzedam-4-dzia%C5%82ki-budowlane-z-warunkami-zabudowy-1-dzia%C5%82ka-3032-o-pow-01042-ha-/3784233258556083/,,,,"53.394780,18.749789",,yes
0103000020110F00000100000006000000B366E104D2E2414198C99CABF90D59413CB9A893D0E241413C309226030E594108E66E6CD0E24141B4C63ADA050E5941D1F7A49EA2E24141B5AEDFF5010E594183504F9FA2E241410E9E67A9F90D5941B366E104D2E2414198C99CABF90D5941,260416_2.0010.90/7,świętokrzyskie,kielecki,Raków,Lipiny,90/7,2024/11/13,75200,Budowlana,https://www.facebook.com/groups/dzialkizamniejniz100tys/posts/%F0%9D%98%BF%F0%9D%99%AF%F0%9D%99%9E%F0%9D%99%96%C5%82%F0%9D%99%A0%F0%9D%99%9E-%F0%9D%98%BD%F0%9D%99%AA%F0%9D%99%99%F0%9D%99%A4%F0%9D%99%AC%F0%9D%99%A1%F0%9D%99%96%F0%9D%99%A3%F0%9D%99%9A-%F0%9D%99%A4%F0%9D%99%A7%F0%9D%99%96%F0%9D%99%AF-%F0%9D%99%84%F0%9D%99%A3%F0%9D%99%AC%F0%9D%99%9A%F0%9D%99%A8%F0%9D%99%A9%F0%9D%99%AE%F0%9D%99%98%F0%9D%99%AE%F0%9D%99%9F%F0%9D%99%A3%F0%9D%99%9A-%F0%9D%99%A4%F0%9D%99%A7%F0%9D%99%A3%F0%9D%99%9A-%F0%9D%99%9E%F0%9D%99%A1%F0%9D%99%96%F0%9D%99%A8%F0%9D%99%88%F0%9D%99%9E%F0%9D%99%9A%F0%9D%99%9F%F0%9D%99%A8%F0%9D%99%98%F0%9D%99%A4%F0%9D%99%AC%F0%9D%99%A4%C5%9B%C4%87-%F0%9D%99%87%F0%9D%99%9E%F0%9D%99%A5%F0%9D%99%9E%F0%9D%99%A3%F0%9D%99%AE%F0%9D%99%92%F0%9D%99%A4%F0%9D%99%9F%F0%9D%99%9A%F0%9D%99%AC%C3%B3%F0%9D%99%99%F0%9D%99%AF%F0%9D%99%A9%F0%9D%99%AC%F0%9D%99%A4-%C5%9B%F0%9D%99%AC%F0%9D%99%9E%C4%99%F0%9D%99%A9/3786137185032357/,607 944 163,,,"50.697344,21.059301",,yes
0103000020110F00000100000005000000D83D3348D3E24141B0340B61F10D5941B366E104D2E2414198C99CABF90D594183504F9FA2E241410E9E67A9F90D5941957BFA9FA2E24141C770F75EF10D5941D83D3348D3E24141B0340B61F10D5941,260416_2.0010.90/6,świętokrzyskie,kielecki,Raków,Lipiny,90/6,2024/11/13,62800,Budowlana,https://www.facebook.com/groups/dzialkizamniejniz100tys/posts/%F0%9D%98%BF%F0%9D%99%AF%F0%9D%99%9E%F0%9D%99%96%C5%82%F0%9D%99%A0%F0%9D%99%9E-%F0%9D%98%BD%F0%9D%99%AA%F0%9D%99%99%F0%9D%99%A4%F0%9D%99%AC%F0%9D%99%A1%F0%9D%99%96%F0%9D%99%A3%F0%9D%99%9A-%F0%9D%99%A4%F0%9D%99%A7%F0%9D%99%96%F0%9D%99%AF-%F0%9D%99%84%F0%9D%99%A3%F0%9D%99%AC%F0%9D%99%9A%F0%9D%99%A8%F0%9D%99%A9%F0%9D%99%AE%F0%9D%99%98%F0%9D%99%AE%F0%9D%99%9F%F0%9D%99%A3%F0%9D%99%9A-%F0%9D%99%A4%F0%9D%99%A7%F0%9D%99%A3%F0%9D%99%9A-%F0%9D%99%9E%F0%9D%99%A1%F0%9D%99%96%F0%9D%99%A8%F0%9D%99%88%F0%9D%99%9E%F0%9D%99%9A%F0%9D%99%9F%F0%9D%99%A8%F0%9D%99%98%F0%9D%99%A4%F0%9D%99%AC%F0%9D%99%A4%C5%9B%C4%87-%F0%9D%99%87%F0%9D%99%9E%F0%9D%99%A5%F0%9D%99%9E%F0%9D%99%A3%F0%9D%99%AE%F0%9D%99%92%F0%9D%99%A4%F0%9D%99%9F%F0%9D%99%9A%F0%9D%99%AC%C3%B3%F0%9D%99%99%F0%9D%99%AF%F0%9D%99%A9%F0%9D%99%AC%F0%9D%99%A4-%C5%9B%F0%9D%99%AC%F0%9D%99%9E%C4%99%F0%9D%99%A9/3786137185032357/,607 944 163,,,"50.697139,21.059291",,yes
0103000020110F00000100000006000000D900848BD4E241416AEC7815E90D5941A6AF9169D4E241419A90D1E8E90D5941D83D3348D3E24141B0340B61F10D5941957BFA9FA2E24141C770F75EF10D59411D8FA9A2A2E24141A05E8613E90D5941D900848BD4E241416AEC7815E90D5941,260416_2.0010.90/5,świętokrzyskie,kielecki,Raków,Lipiny,90/5,2024/11/13,64400,Budowlana,https://www.facebook.com/groups/dzialkizamniejniz100tys/posts/%F0%9D%98%BF%F0%9D%99%AF%F0%9D%99%9E%F0%9D%99%96%C5%82%F0%9D%99%A0%F0%9D%99%9E-%F0%9D%98%BD%F0%9D%99%AA%F0%9D%99%99%F0%9D%99%A4%F0%9D%99%AC%F0%9D%99%A1%F0%9D%99%96%F0%9D%99%A3%F0%9D%99%9A-%F0%9D%99%A4%F0%9D%99%A7%F0%9D%99%96%F0%9D%99%AF-%F0%9D%99%84%F0%9D%99%A3%F0%9D%99%AC%F0%9D%99%9A%F0%9D%99%A8%F0%9D%99%A9%F0%9D%99%AE%F0%9D%99%98%F0%9D%99%AE%F0%9D%99%9F%F0%9D%99%A3%F0%9D%99%9A-%F0%9D%99%A4%F0%9D%99%A7%F0%9D%99%A3%F0%9D%99%9A-%F0%9D%99%9E%F0%9D%99%A1%F0%9D%99%96%F0%9D%99%A8%F0%9D%99%88%F0%9D%99%9E%F0%9D%99%9A%F0%9D%99%9F%F0%9D%99%A8%F0%9D%99%98%F0%9D%99%A4%F0%9D%99%AC%F0%9D%99%A4%C5%9B%C4%87-%F0%9D%99%87%F0%9D%99%9E%F0%9D%99%A5%F0%9D%99%9E%F0%9D%99%A3%F0%9D%99%AE%F0%9D%99%92%F0%9D%99%A4%F0%9D%99%9F%F0%9D%99%9A%F0%9D%99%AC%C3%B3%F0%9D%99%99%F0%9D%99%AF%F0%9D%99%A9%F0%9D%99%AC%F0%9D%99%A4-%C5%9B%F0%9D%99%AC%F0%9D%99%9E%C4%99%F0%9D%99%A9/3786137185032357/,607 944 163,,,"50.696948,21.059301",,yes
